belief state[non-destination destination-city],action[0-Moving/1-unloading],alpha-vector[non-destination destination-city],observation(0-non-destination/1-destination-city
[0.76803608 0.23196392],0,[0.95 0.  ],0
[0.32038799 0.67961201],0,[0.95 0.  ],1
[0.00580713 0.99419287],1,[-9.5   0.95],None
[0.5068345 0.4931655],0,[0.95 0.  ],0
[0.23226925 0.76773075],0,[0.95 0.  ],1
[0.0041788 0.9958212],1,[-9.5   0.95],None
[0.39617922 0.60382078],0,[0.95 0.  ],0
[0.1894714 0.8105286],0,[0.95 0.  ],1
[0.00339661 0.99660339],1,[-9.5   0.95],None
[0.81731754 0.18268246],0,[0.95 0.  ],1
[0.01546412 0.98453588],1,[-9.5   0.95],None
[0.0453406 0.9546594],1,[-9.5   0.95],None
[0.52456477 0.47543523],0,[0.95 0.  ],0
[0.23879668 0.76120332],0,[0.95 0.  ],1
[0.00429859 0.99570141],1,[-9.5   0.95],None
[0.05523173 0.94476827],1,[-9.5   0.95],None
[0.31956819 0.68043181],0,[0.95 0.  ],0
[0.15758735 0.84241265],0,[0.95 0.  ],1
[0.00281752 0.99718248],1,[-9.5   0.95],None
[0.84965414 0.15034586],0,[0.95 0.  ],0
[0.34476825 0.65523175],0,[0.95 0.  ],1
[0.00626194 0.99373806],1,[-9.5   0.95],None
[0.2199301 0.7800699],0,[0.95 0.  ],0
[0.11302667 0.88697333],0,[0.95 0.  ],1
[0.00201333 0.99798667],1,[-9.5   0.95],None
[0.62174704 0.37825296],0,[0.95 0.  ],0
[0.27308739 0.72691261],0,[0.95 0.  ],1
[0.00493006 0.99506994],1,[-9.5   0.95],None
[0.83326839 0.16673161],0,[0.95 0.  ],0
[0.33998092 0.66001908],0,[0.95 0.  ],1
[0.00617248 0.99382752],1,[-9.5   0.95],None
[0.95180688 0.04819312],0,[0.95 0.  ],0
[0.37347043 0.62652957],0,[0.95 0.  ],1
[0.00679979 0.99320021],1,[-9.5   0.95],None
[0.59834976 0.40165024],0,[0.95 0.  ],0
[0.26505389 0.73494611],0,[0.95 0.  ],1
[0.0047818 0.9952182],1,[-9.5   0.95],None
[0.1695774 0.8304226],0,[0.95 0.  ],0
[0.08904702 0.91095298],0,[0.95 0.  ],1
[0.00158303 0.99841697],1,[-9.5   0.95],None
[0.30207508 0.69792492],0,[0.95 0.  ],0
[0.15002684 0.84997316],0,[0.95 0.  ],0
[0.07945254 0.92054746],1,[-9.5   0.95],None
[0.33526811 0.66473189],0,[0.95 0.  ],0
[0.16428196 0.83571804],0,[0.95 0.  ],1
[0.00293885 0.99706115],1,[-9.5   0.95],None
[0.27950526 0.72049474],0,[0.95 0.  ],0
[0.14011085 0.85988915],0,[0.95 0.  ],0
[0.07452343 0.92547657],1,[-9.5   0.95],None
[0.53203749 0.46796251],0,[0.95 0.  ],0
[0.24152186 0.75847814],0,[0.95 0.  ],1
[0.00434865 0.99565135],1,[-9.5   0.95],None
[0.06801719 0.93198281],1,[-9.5   0.95],None
[0.30114779 0.69885221],0,[0.95 0.  ],0
[0.14962304 0.85037696],0,[0.95 0.  ],1
[0.00267335 0.99732665],1,[-9.5   0.95],None
[0.54915581 0.45084419],0,[0.95 0.  ],0
[0.24770759 0.75229241],0,[0.95 0.  ],1
[0.00446234 0.99553766],1,[-9.5   0.95],None
[0.28889042 0.71110958],0,[0.95 0.  ],0
[0.14425655 0.85574345],0,[0.95 0.  ],1
[0.00257631 0.99742369],1,[-9.5   0.95],None
[0.93237415 0.06762585],0,[0.95 0.  ],0
[0.36815722 0.63184278],0,[0.95 0.  ],1
[0.00670003 0.99329997],1,[-9.5   0.95],None
[0.67791371 0.32208629],0,[0.95 0.  ],0
[0.29182836 0.70817164],0,[0.95 0.  ],1
[0.00527673 0.99472327],1,[-9.5   0.95],None
[0.29927177 0.70072823],0,[0.95 0.  ],0
[0.14880518 0.85119482],0,[0.95 0.  ],1
[0.00265855 0.99734145],1,[-9.5   0.95],None
[0.84131203 0.15868797],0,[0.95 0.  ],0
[0.34233756 0.65766244],0,[0.95 0.  ],1
[0.00621651 0.99378349],1,[-9.5   0.95],None
[0.6855419 0.3144581],0,[0.95 0.  ],0
[0.29431623 0.70568377],0,[0.95 0.  ],1
[0.00532283 0.99467717],1,[-9.5   0.95],None
[0.7934126 0.2065874],0,[0.95 0.  ],0
[0.32811345 0.67188655],0,[0.95 0.  ],1
[0.00595104 0.99404896],1,[-9.5   0.95],None
[0.87508092 0.12491908],0,[0.95 0.  ],0
[0.35209412 0.64790588],0,[0.95 0.  ],0
[0.17136321 0.82863679],0,[0.95 0.  ],0
[0.08991534 0.91008466],0,[0.95 0.  ],0
[0.04890015 0.95109985],1,[-9.5   0.95],None
[0.74823837 0.25176163],0,[0.95 0.  ],0
[0.31426674 0.68573326],0,[0.95 0.  ],1
[0.00569323 0.99430677],1,[-9.5   0.95],None
[0.6491436 0.3508564],0,[0.95 0.  ],0
[0.28232292 0.71767708],0,[0.95 0.  ],1
[0.00510076 0.99489924],1,[-9.5   0.95],None
[0.31160173 0.68839827],0,[0.95 0.  ],0
[0.15415762 0.84584238],0,[0.95 0.  ],1
[0.00275541 0.99724459],1,[-9.5   0.95],None
[0.95792638 0.04207362],0,[0.95 0.  ],0
[0.3751298 0.6248702],0,[0.95 0.  ],1
[0.00683097 0.99316903],1,[-9.5   0.95],None
[0.50644596 0.49355404],0,[0.95 0.  ],1
[0.00932625 0.99067375],1,[-9.5   0.95],None
[0.65506461 0.34493539],0,[0.95 0.  ],1
[0.01221914 0.98778086],1,[-9.5   0.95],None
[0.94686515 0.05313485],0,[0.95 0.  ],0
[0.37212562 0.62787438],0,[0.95 0.  ],1
[0.00677453 0.99322547],1,[-9.5   0.95],None
[0.86629818 0.13370182],0,[0.95 0.  ],0
[0.34957767 0.65042233],0,[0.95 0.  ],1
[0.00635188 0.99364812],1,[-9.5   0.95],None
[0.46722102 0.53277898],0,[0.95 0.  ],0
[0.21736506 0.78263494],0,[0.95 0.  ],1
[0.00390577 0.99609423],1,[-9.5   0.95],None
[0.37535078 0.62464922],0,[0.95 0.  ],0
[0.18099502 0.81900498],0,[0.95 0.  ],0
[0.09457558 0.90542442],0,[0.95 0.  ],0
[0.05132748 0.94867252],1,[-9.5   0.95],None
[0.24419268 0.75580732],0,[0.95 0.  ],0
[0.12422015 0.87577985],0,[0.95 0.  ],1
[0.00221478 0.99778522],1,[-9.5   0.95],None
[0.02500706 0.97499294],1,[-9.5   0.95],None
[0.67971949 0.32028051],0,[0.95 0.  ],0
[0.29241851 0.70758149],0,[0.95 0.  ],1
[0.00528766 0.99471234],1,[-9.5   0.95],None
[0.93591471 0.06408529],0,[0.95 0.  ],0
[0.36913026 0.63086974],0,[0.95 0.  ],1
[0.00671829 0.99328171],1,[-9.5   0.95],None
[0.26299625 0.73700375],0,[0.95 0.  ],0
[0.13273984 0.86726016],0,[0.95 0.  ],1
[0.00236836 0.99763164],1,[-9.5   0.95],None
[0.99356196 0.00643804],0,[0.95 0.  ],0
[0.38466418 0.61533582],0,[0.95 0.  ],1
[0.00701026 0.99298974],1,[-9.5   0.95],None
[0.46370701 0.53629299],0,[0.95 0.  ],0
[0.21602108 0.78397892],0,[0.95 0.  ],1
[0.00388118 0.99611882],1,[-9.5   0.95],None
[0.89015365 0.10984635],0,[0.95 0.  ],0
[0.35637884 0.64362116],0,[0.95 0.  ],1
[0.0064792 0.9935208],1,[-9.5   0.95],None
[0.42398575 0.57601425],0,[0.95 0.  ],1
[0.0077528 0.9922472],1,[-9.5   0.95],None
[0.85704326 0.14295674],0,[0.95 0.  ],1
[0.01627283 0.98372717],1,[-9.5   0.95],None
[0.94169257 0.05830743],0,[0.95 0.  ],0
[0.37071338 0.62928662],0,[0.95 0.  ],1
[0.00674801 0.99325199],1,[-9.5   0.95],None
[0.38632206 0.61367794],0,[0.95 0.  ],0
[0.18547731 0.81452269],0,[0.95 0.  ],1
[0.0033239 0.9966761],1,[-9.5   0.95],None
[0.88848549 0.11151451],0,[0.95 0.  ],0
[0.35590673 0.64409327],0,[0.95 0.  ],0
[0.1729545 0.8270455],0,[0.95 0.  ],0
[0.09068794 0.90931206],0,[0.95 0.  ],0
[0.04930327 0.95069673],1,[-9.5   0.95],None
[0.39604959 0.60395041],0,[0.95 0.  ],0
[0.18941907 0.81058093],0,[0.95 0.  ],1
[0.00339566 0.99660434],1,[-9.5   0.95],None
[0.99092716 0.00907284],0,[0.95 0.  ],0
[0.38396666 0.61603334],0,[0.95 0.  ],1
[0.00699714 0.99300286],1,[-9.5   0.95],None
[0.56387836 0.43612164],0,[0.95 0.  ],0
[0.25296503 0.74703497],0,[0.95 0.  ],0
[0.12821145 0.87178855],0,[0.95 0.  ],0
[0.06855157 0.93144843],1,[-9.5   0.95],None
[0.96891888 0.03108112],0,[0.95 0.  ],0
[0.37809416 0.62190584],0,[0.95 0.  ],1
[0.00688668 0.99311332],1,[-9.5   0.95],None
[0.88050896 0.11949104],0,[0.95 0.  ],0
[0.35364207 0.64635793],0,[0.95 0.  ],1
[0.00642795 0.99357205],1,[-9.5   0.95],None
[0.66459337 0.33540663],0,[0.95 0.  ],0
[0.28745163 0.71254837],0,[0.95 0.  ],1
[0.00519567 0.99480433],1,[-9.5   0.95],None
[0.70069475 0.29930525],0,[0.95 0.  ],1
[0.01312242 0.98687758],1,[-9.5   0.95],None
[0.7230451 0.2769549],0,[0.95 0.  ],0
[0.30635495 0.69364505],0,[0.95 0.  ],1
[0.00554619 0.99445381],1,[-9.5   0.95],None
[0.06440764 0.93559236],1,[-9.5   0.95],None
[0.2399084 0.7600916],0,[0.95 0.  ],0
[0.12226018 0.87773982],0,[0.95 0.  ],1
[0.00217948 0.99782052],1,[-9.5   0.95],None
[0.64978583 0.35021417],0,[0.95 0.  ],1
[0.01211511 0.98788489],1,[-9.5   0.95],None
[0.96063616 0.03936384],0,[0.95 0.  ],0
[0.3758625 0.6241375],0,[0.95 0.  ],1
[0.00684474 0.99315526],1,[-9.5   0.95],None
[0.31689661 0.68310339],0,[0.95 0.  ],0
[0.15643966 0.84356034],0,[0.95 0.  ],0
[0.08261762 0.91738238],1,[-9.5   0.95],None
[0.7816422 0.2183578],0,[0.95 0.  ],0
[0.32454682 0.67545318],0,[0.95 0.  ],1
[0.00588458 0.99411542],1,[-9.5   0.95],None
[0.38314731 0.61685269],0,[0.95 0.  ],0
[0.18418428 0.81581572],0,[0.95 0.  ],1
[0.00330037 0.99669963],1,[-9.5   0.95],None
[0.81269487 0.18730513],0,[0.95 0.  ],0
[0.33389491 0.66610509],0,[0.95 0.  ],0
[0.1636998 0.8363002],0,[0.95 0.  ],1
[0.0029283 0.9970717],1,[-9.5   0.95],None
[0.54899917 0.45100083],0,[0.95 0.  ],0
[0.24765135 0.75234865],0,[0.95 0.  ],1
[0.00446131 0.99553869],1,[-9.5   0.95],None
[0.22855299 0.77144701],0,[0.95 0.  ],0
[0.11703105 0.88296895],0,[0.95 0.  ],0
[0.06288326 0.93711674],1,[-9.5   0.95],None
[0.23348938 0.76651062],0,[0.95 0.  ],0
[0.11931038 0.88068962],0,[0.95 0.  ],1
[0.00212637 0.99787363],1,[-9.5   0.95],None
[0.55352084 0.44647916],0,[0.95 0.  ],0
[0.24927234 0.75072766],0,[0.95 0.  ],1
[0.00449112 0.99550888],1,[-9.5   0.95],None
[0.59761617 0.40238383],0,[0.95 0.  ],0
[0.2647998 0.7352002],0,[0.95 0.  ],0
[0.13355001 0.86644999],0,[0.95 0.  ],0
[0.07123852 0.92876148],1,[-9.5   0.95],None
[0.15198683 0.84801317],0,[0.95 0.  ],0
[0.08042178 0.91957822],1,[-9.5   0.95],None
[0.26572795 0.73427205],0,[0.95 0.  ],0
[0.13396648 0.86603352],0,[0.95 0.  ],1
[0.00239049 0.99760951],1,[-9.5   0.95],None
[0.75725942 0.24274058],0,[0.95 0.  ],0
[0.31706632 0.68293368],0,[0.95 0.  ],1
[0.00574531 0.99425469],1,[-9.5   0.95],None
[0.92035129 0.07964871],0,[0.95 0.  ],0
[0.36483623 0.63516377],0,[0.95 0.  ],1
[0.00663772 0.99336228],1,[-9.5   0.95],None
[0.36516907 0.63483093],0,[0.95 0.  ],0
[0.17680022 0.82319978],0,[0.95 0.  ],1
[0.0031661 0.9968339],1,[-9.5   0.95],None
[0.75291907 0.24708093],0,[0.95 0.  ],0
[0.31572152 0.68427848],0,[0.95 0.  ],1
[0.00572029 0.99427971],1,[-9.5   0.95],None
[0.59606162 0.40393838],0,[0.95 0.  ],0
[0.26426089 0.73573911],0,[0.95 0.  ],1
[0.00476717 0.99523283],1,[-9.5   0.95],None
[0.28730688 0.71269312],0,[0.95 0.  ],0
[0.1435593 0.8564407],0,[0.95 0.  ],1
[0.00256371 0.99743629],1,[-9.5   0.95],None
[0.65892205 0.34107795],0,[0.95 0.  ],0
[0.28557555 0.71442445],0,[0.95 0.  ],0
[0.14279593 0.85720407],0,[0.95 0.  ],0
[0.07586237 0.92413763],1,[-9.5   0.95],None
[0.59349802 0.40650198],0,[0.95 0.  ],0
[0.26337084 0.73662916],0,[0.95 0.  ],1
[0.00475076 0.99524924],1,[-9.5   0.95],None
[0.55389488 0.44610512],0,[0.95 0.  ],0
[0.24940619 0.75059381],0,[0.95 0.  ],0
[0.12659575 0.87340425],0,[0.95 0.  ],0
[0.06773589 0.93226411],1,[-9.5   0.95],None
[0.20123133 0.79876867],0,[0.95 0.  ],0
[0.10424194 0.89575806],0,[0.95 0.  ],1
[0.00185549 0.99814451],1,[-9.5   0.95],None
[0.68231531 0.31768469],0,[0.95 0.  ],0
[0.29326554 0.70673446],0,[0.95 0.  ],0
[0.14617825 0.85382175],0,[0.95 0.  ],0
[0.07754453 0.92245547],1,[-9.5   0.95],None
[0.86574423 0.13425577],0,[0.95 0.  ],0
[0.34941846 0.65058154],0,[0.95 0.  ],1
[0.0063489 0.9936511],1,[-9.5   0.95],None
[0.81934008 0.18065992],0,[0.95 0.  ],0
[0.33586992 0.66413008],0,[0.95 0.  ],1
[0.00609572 0.99390428],1,[-9.5   0.95],None
[0.08903963 0.91096037],0,[0.95 0.  ],0
[0.0484429 0.9515571],1,[-9.5   0.95],None
[0.27182015 0.72817985],0,[0.95 0.  ],0
[0.13669211 0.86330789],0,[0.95 0.  ],1
[0.00243968 0.99756032],1,[-9.5   0.95],None
[0.71367484 0.28632516],0,[0.95 0.  ],0
[0.30337667 0.69662333],0,[0.95 0.  ],1
[0.00549089 0.99450911],1,[-9.5   0.95],None
[0.65187503 0.34812497],0,[0.95 0.  ],0
[0.28323377 0.71676623],0,[0.95 0.  ],1
[0.00511761 0.99488239],1,[-9.5   0.95],None
[0.51800383 0.48199617],0,[0.95 0.  ],0
[0.2363914 0.7636086],0,[0.95 0.  ],1
[0.00425444 0.99574556],1,[-9.5   0.95],None
[0.25760731 0.74239269],0,[0.95 0.  ],1
[0.00464454 0.99535546],1,[-9.5   0.95],None
[0.23636487 0.76363513],0,[0.95 0.  ],0
[0.12063375 0.87936625],0,[0.95 0.  ],1
[0.00215019 0.99784981],1,[-9.5   0.95],None
[0.2693357 0.7306643],0,[0.95 0.  ],1
[0.0048608 0.9951392],1,[-9.5   0.95],None
[0.88434969 0.11565031],0,[0.95 0.  ],1
[0.01683203 0.98316797],1,[-9.5   0.95],None
[0.37913974 0.62086026],0,[0.95 0.  ],0
[0.1825474 0.8174526],0,[0.95 0.  ],1
[0.00327059 0.99672941],1,[-9.5   0.95],None
[0.01992716 0.98007284],1,[-9.5   0.95],None
[0.12784096 0.87215904],0,[0.95 0.  ],0
[0.06836463 0.93163537],1,[-9.5   0.95],None
[0.03684015 0.96315985],1,[-9.5   0.95],None
[0.66806886 0.33193114],0,[0.95 0.  ],0
[0.28859759 0.71140241],0,[0.95 0.  ],1
[0.00521689 0.99478311],1,[-9.5   0.95],None
[0.22021409 0.77978591],0,[0.95 0.  ],0
[0.11315902 0.88684098],0,[0.95 0.  ],0
[0.06090709 0.93909291],1,[-9.5   0.95],None
[0.65037906 0.34962094],0,[0.95 0.  ],0
[0.28273513 0.71726487],0,[0.95 0.  ],1
[0.00510839 0.99489161],1,[-9.5   0.95],None
[0.45744631 0.54255369],0,[0.95 0.  ],0
[0.21361758 0.78638242],0,[0.95 0.  ],1
[0.00383723 0.99616277],1,[-9.5   0.95],None
[0.39749857 0.60250143],0,[0.95 0.  ],0
[0.19000364 0.80999636],0,[0.95 0.  ],1
[0.00340631 0.99659369],1,[-9.5   0.95],None
[0.34477742 0.65522258],0,[0.95 0.  ],0
[0.16829574 0.83170426],0,[0.95 0.  ],1
[0.00301167 0.99698833],1,[-9.5   0.95],None
[0.319807 0.680193],0,[0.95 0.  ],0
[0.15768982 0.84231018],0,[0.95 0.  ],1
[0.00281937 0.99718063],1,[-9.5   0.95],None
[0.84987886 0.15012114],0,[0.95 0.  ],0
[0.34483354 0.65516646],0,[0.95 0.  ],1
[0.00626316 0.99373684],1,[-9.5   0.95],None
[0.32355196 0.67644804],0,[0.95 0.  ],0
[0.15929414 0.84070586],0,[0.95 0.  ],0
[0.0840208 0.9159792],0,[0.95 0.  ],0
[0.04581538 0.95418462],1,[-9.5   0.95],None
[0.38066638 0.61933362],0,[0.95 0.  ],0
[0.18317156 0.81682844],0,[0.95 0.  ],1
[0.00328195 0.99671805],1,[-9.5   0.95],None
[0.8004048 0.1995952],0,[0.95 0.  ],0
[0.33021869 0.66978131],0,[0.95 0.  ],0
[0.16213811 0.83786189],0,[0.95 0.  ],0
[0.08541536 0.91458464],0,[0.95 0.  ],0
[0.04654666 0.95345334],1,[-9.5   0.95],None
[0.55025495 0.44974505],0,[0.95 0.  ],0
[0.24810209 0.75189791],0,[0.95 0.  ],1
[0.00446959 0.99553041],1,[-9.5   0.95],None
[0.54065395 0.45934605],0,[0.95 0.  ],0
[0.2446453 0.7553547],0,[0.95 0.  ],1
[0.00440604 0.99559396],1,[-9.5   0.95],None
[0.69630249 0.30369751],0,[0.95 0.  ],0
[0.29780297 0.70219703],0,[0.95 0.  ],1
[0.00538747 0.99461253],1,[-9.5   0.95],None
[0.07639267 0.92360733],1,[-9.5   0.95],None
[0.34410291 0.65589709],0,[0.95 0.  ],0
[0.16801205 0.83198795],0,[0.95 0.  ],1
[0.00300652 0.99699348],1,[-9.5   0.95],None
[0.9660821 0.0339179],0,[0.95 0.  ],0
[0.37733117 0.62266883],0,[0.95 0.  ],1
[0.00687234 0.99312766],1,[-9.5   0.95],None
[0.89426309 0.10573691],0,[0.95 0.  ],0
[0.35753965 0.64246035],0,[0.95 0.  ],1
[0.00650094 0.99349906],1,[-9.5   0.95],None
[0.45412696 0.54587304],0,[0.95 0.  ],0
[0.21233857 0.78766143],0,[0.95 0.  ],1
[0.00381384 0.99618616],1,[-9.5   0.95],None
[0.9199287 0.0800713],0,[0.95 0.  ],0
[0.36471903 0.63528097],0,[0.95 0.  ],1
[0.00663552 0.99336448],1,[-9.5   0.95],None
[0.84047508 0.15952492],0,[0.95 0.  ],1
[0.01593485 0.98406515],1,[-9.5   0.95],None
[0.34407011 0.65592989],0,[0.95 0.  ],0
[0.16799825 0.83200175],0,[0.95 0.  ],1
[0.00300627 0.99699373],1,[-9.5   0.95],None
[0.3798002 0.6201998],0,[0.95 0.  ],0
[0.18281752 0.81718248],0,[0.95 0.  ],1
[0.00327551 0.99672449],1,[-9.5   0.95],None
[0.66979461 0.33020539],0,[0.95 0.  ],0
[0.28916556 0.71083444],0,[0.95 0.  ],0
[0.1443776 0.8556224],0,[0.95 0.  ],1
[0.0025785 0.9974215],1,[-9.5   0.95],None
[0.73286817 0.26713183],0,[0.95 0.  ],0
[0.30945631 0.69054369],0,[0.95 0.  ],1
[0.0056038 0.9943962],1,[-9.5   0.95],None
[0.01097603 0.98902397],1,[-9.5   0.95],None
[0.83527117 0.16472883],0,[0.95 0.  ],0
[0.34056889 0.65943111],0,[0.95 0.  ],1
[0.00618347 0.99381653],1,[-9.5   0.95],None
[0.89388356 0.10611644],0,[0.95 0.  ],0
[0.35743257 0.64256743],0,[0.95 0.  ],1
[0.00649893 0.99350107],1,[-9.5   0.95],None
[0.48847879 0.51152121],0,[0.95 0.  ],0
[0.22541889 0.77458111],0,[0.95 0.  ],1
[0.00405322 0.99594678],1,[-9.5   0.95],None
[0.83237906 0.16762094],0,[0.95 0.  ],1
[0.01577006 0.98422994],1,[-9.5   0.95],None
[0.14273934 0.85726066],0,[0.95 0.  ],0
[0.07583418 0.92416582],1,[-9.5   0.95],None
[0.55864228 0.44135772],0,[0.95 0.  ],0
[0.25110179 0.74889821],0,[0.95 0.  ],1
[0.00452478 0.99547522],1,[-9.5   0.95],None
[0.30731518 0.69268482],0,[0.95 0.  ],0
[0.15230294 0.84769706],0,[0.95 0.  ],1
[0.00272184 0.99727816],1,[-9.5   0.95],None
[0.63209937 0.36790063],0,[0.95 0.  ],0
[0.27659866 0.72340134],0,[0.95 0.  ],1
[0.00499493 0.99500507],1,[-9.5   0.95],None
[0.77639046 0.22360954],0,[0.95 0.  ],0
[0.32294617 0.67705383],0,[0.95 0.  ],0
[0.15903496 0.84096504],0,[0.95 0.  ],0
[0.08389354 0.91610646],0,[0.95 0.  ],1
[0.00149077 0.99850923],1,[-9.5   0.95],None
[0.35619961 0.64380039],0,[0.95 0.  ],0
[0.17307654 0.82692346],0,[0.95 0.  ],1
[0.00309846 0.99690154],1,[-9.5   0.95],None
[0.72407471 0.27592529],0,[0.95 0.  ],0
[0.30668102 0.69331898],0,[0.95 0.  ],1
[0.00555225 0.99444775],1,[-9.5   0.95],None
[0.16458184 0.83541816],0,[0.95 0.  ],0
[0.08661091 0.91338909],0,[0.95 0.  ],1
[0.00153941 0.99846059],1,[-9.5   0.95],None
[0.39606697 0.60393303],0,[0.95 0.  ],0
[0.18942609 0.81057391],0,[0.95 0.  ],1
[0.00339579 0.99660421],1,[-9.5   0.95],None
[0.37728925 0.62271075],0,[0.95 0.  ],0
[0.18178982 0.81821018],0,[0.95 0.  ],0
[0.09495841 0.90504159],0,[0.95 0.  ],0
[0.05152643 0.94847357],1,[-9.5   0.95],None
[0.51541199 0.48458801],0,[0.95 0.  ],0
[0.23543794 0.76456206],0,[0.95 0.  ],1
[0.00423694 0.99576306],1,[-9.5   0.95],None
[0.13567777 0.86432223],0,[0.95 0.  ],0
[0.07230592 0.92769408],1,[-9.5   0.95],None
[0.15978354 0.84021646],0,[0.95 0.  ],0
[0.08426103 0.91573897],0,[0.95 0.  ],1
[0.00149735 0.99850265],1,[-9.5   0.95],None
[0.73883771 0.26116229],0,[0.95 0.  ],0
[0.3113307 0.6886693],0,[0.95 0.  ],1
[0.00563864 0.99436136],1,[-9.5   0.95],None
[0.14620039 0.85379961],0,[0.95 0.  ],0
[0.07755552 0.92244448],1,[-9.5   0.95],None
[0.15435219 0.84564781],0,[0.95 0.  ],0
[0.08158928 0.91841072],1,[-9.5   0.95],None
[0.99617046 0.00382954],0,[0.95 0.  ],1
[0.01915054 0.98084946],1,[-9.5   0.95],None
[0.73061661 0.26938339],0,[0.95 0.  ],0
[0.30874732 0.69125268],0,[0.95 0.  ],1
[0.00559063 0.99440937],1,[-9.5   0.95],None
[0.02985156 0.97014844],1,[-9.5   0.95],None
[0.27165894 0.72834106],0,[0.95 0.  ],0
[0.13662016 0.86337984],0,[0.95 0.  ],1
[0.00243838 0.99756162],1,[-9.5   0.95],None
[0.9521207 0.0478793],0,[0.95 0.  ],0
[0.37355568 0.62644432],0,[0.95 0.  ],1
[0.00680139 0.99319861],1,[-9.5   0.95],None
[0.25955914 0.74044086],0,[0.95 0.  ],0
[0.13119248 0.86880752],0,[0.95 0.  ],1
[0.00234045 0.99765955],1,[-9.5   0.95],None
[0.97768158 0.02231842],0,[0.95 0.  ],1
[0.01876399 0.98123601],1,[-9.5   0.95],None
[0.80342905 0.19657095],0,[0.95 0.  ],0
[0.33112616 0.66887384],0,[0.95 0.  ],0
[0.16252404 0.83747596],0,[0.95 0.  ],0
[0.08560433 0.91439567],0,[0.95 0.  ],0
[0.04664569 0.95335431],1,[-9.5   0.95],None
[0.01895942 0.98104058],1,[-9.5   0.95],None
[0.07090562 0.92909438],1,[-9.5   0.95],None
[0.36536837 0.63463163],0,[0.95 0.  ],0
[0.17688266 0.82311734],0,[0.95 0.  ],1
[0.0031676 0.9968324],1,[-9.5   0.95],None
[0.48599282 0.51400718],0,[0.95 0.  ],0
[0.22448377 0.77551623],0,[0.95 0.  ],1
[0.00403609 0.99596391],1,[-9.5   0.95],None
[0.24031552 0.75968448],0,[0.95 0.  ],0
[0.12244673 0.87755327],0,[0.95 0.  ],1
[0.00218284 0.99781716],1,[-9.5   0.95],None
[0.20195082 0.79804918],0,[0.95 0.  ],0
[0.10458255 0.89541745],0,[0.95 0.  ],1
[0.00186161 0.99813839],1,[-9.5   0.95],None
[0.62923496 0.37076504],0,[0.95 0.  ],0
[0.27562974 0.72437026],0,[0.95 0.  ],0
[0.13838953 0.86161047],0,[0.95 0.  ],0
[0.07366342 0.92633658],1,[-9.5   0.95],None
[0.3052158 0.6947842],0,[0.95 0.  ],0
[0.15139221 0.84860779],0,[0.95 0.  ],1
[0.00270536 0.99729464],1,[-9.5   0.95],None
[0.50011519 0.49988481],0,[0.95 0.  ],0
[0.22977264 0.77022736],0,[0.95 0.  ],0
[0.1175951 0.8824049],0,[0.95 0.  ],0
[0.06317057 0.93682943],1,[-9.5   0.95],None
[0.90558937 0.09441063],0,[0.95 0.  ],0
[0.36072283 0.63927717],0,[0.95 0.  ],1
[0.00656059 0.99343941],1,[-9.5   0.95],None
[0.54457492 0.45542508],0,[0.95 0.  ],0
[0.24606 0.75394],0,[0.95 0.  ],1
[0.00443205 0.99556795],1,[-9.5   0.95],None
[0.22168172 0.77831828],0,[0.95 0.  ],0
[0.11384247 0.88615753],0,[0.95 0.  ],1
[0.002028 0.997972],1,[-9.5   0.95],None
[0.87134436 0.12865564],0,[0.95 0.  ],0
[0.35102531 0.64897469],0,[0.95 0.  ],1
[0.00637897 0.99362103],1,[-9.5   0.95],None
[0.0998402 0.9001598],0,[0.95 0.  ],0
[0.05405746 0.94594254],1,[-9.5   0.95],None
[0.7129055 0.2870945],0,[0.95 0.  ],0
[0.30313127 0.69686873],0,[0.95 0.  ],0
[0.15048639 0.84951361],0,[0.95 0.  ],0
[0.07967994 0.92032006],1,[-9.5   0.95],None
[0.81287391 0.18712609],0,[0.95 0.  ],1
[0.01537401 0.98462599],1,[-9.5   0.95],None
[0.66126653 0.33873347],0,[0.95 0.  ],0
[0.28635203 0.71364797],0,[0.95 0.  ],0
[0.14313843 0.85686157],0,[0.95 0.  ],0
[0.07603293 0.92396707],1,[-9.5   0.95],None
[0.23308908 0.76691092],0,[0.95 0.  ],0
[0.1191259 0.8808741],0,[0.95 0.  ],0
[0.06394959 0.93605041],1,[-9.5   0.95],None
[0.51018518 0.48981482],0,[0.95 0.  ],0
[0.2335095 0.7664905],0,[0.95 0.  ],1
[0.00420155 0.99579845],1,[-9.5   0.95],None
[0.94131675 0.05868325],0,[0.95 0.  ],0
[0.37061058 0.62938942],0,[0.95 0.  ],0
[0.17904632 0.82095368],0,[0.95 0.  ],0
[0.09363584 0.90636416],0,[0.95 0.  ],0
[0.05083882 0.94916118],1,[-9.5   0.95],None
[0.94420527 0.05579473],0,[0.95 0.  ],0
[0.3714 0.6286],0,[0.95 0.  ],1
[0.00676091 0.99323909],1,[-9.5   0.95],None
[0.03327 0.96673],1,[-9.5   0.95],None
[0.01836937 0.98163063],1,[-9.5   0.95],None
[0.2629157 0.7370843],0,[0.95 0.  ],0
[0.13270362 0.86729638],0,[0.95 0.  ],1
[0.0023677 0.9976323],1,[-9.5   0.95],None
[0.72278684 0.27721316],0,[0.95 0.  ],0
