belief state[non-destination destination-city],action[0-Moving/1-unloading],alpha-vector[non-destination destination-city],observation(0-non-destination/1-destination-city
[0.16652783 0.83347217],0,[0.95 0.  ],1
[0.00297959 0.99702041],1,[-9.5   0.95],None
[0.46056362 0.53943638],0,[0.95 0.  ],0
[0.21481577 0.78518423],0,[0.95 0.  ],1
[0.00385914 0.99614086],1,[-9.5   0.95],None
[0.98988836 0.01011164],0,[0.95 0.  ],0
[0.38369133 0.61630867],0,[0.95 0.  ],1
[0.00699196 0.99300804],1,[-9.5   0.95],None
[0.92844436 0.07155564],0,[0.95 0.  ],0
[0.36707458 0.63292542],0,[0.95 0.  ],1
[0.00667971 0.99332029],1,[-9.5   0.95],None
[0.01672637 0.98327363],1,[-9.5   0.95],None
[0.90038608 0.09961392],0,[0.95 0.  ],0
[0.35926342 0.64073658],0,[0.95 0.  ],1
[0.00653324 0.99346676],1,[-9.5   0.95],None
[0.41273928 0.58726072],0,[0.95 0.  ],0
[0.19611211 0.80388789],0,[0.95 0.  ],1
[0.00351761 0.99648239],1,[-9.5   0.95],None
[0.98412122 0.01587878],0,[0.95 0.  ],0
[0.38215945 0.61784055],0,[0.95 0.  ],1
[0.00696313 0.99303687],1,[-9.5   0.95],None
[0.62333869 0.37666131],0,[0.95 0.  ],0
[0.27362895 0.72637105],0,[0.95 0.  ],1
[0.00494007 0.99505993],1,[-9.5   0.95],None
[0.76991107 0.23008893],0,[0.95 0.  ],0
[0.32096341 0.67903659],0,[0.95 0.  ],1
[0.00581784 0.99418216],1,[-9.5   0.95],None
[0.74995649 0.25004351],0,[0.95 0.  ],0
[0.31480129 0.68519871],0,[0.95 0.  ],1
[0.00570317 0.99429683],1,[-9.5   0.95],None
[0.29422875 0.70577125],0,[0.95 0.  ],0
[0.1466004 0.8533996],0,[0.95 0.  ],1
[0.00261868 0.99738132],1,[-9.5   0.95],None
[0.63245098 0.36754902],0,[0.95 0.  ],0
[0.27671745 0.72328255],0,[0.95 0.  ],1
[0.00499713 0.99500287],1,[-9.5   0.95],None
[0.42928201 0.57071799],0,[0.95 0.  ],0
[0.2026605 0.7973395],0,[0.95 0.  ],1
[0.00363706 0.99636294],1,[-9.5   0.95],None
[0.68280214 0.31719786],0,[0.95 0.  ],0
[0.29342422 0.70657578],0,[0.95 0.  ],1
[0.0053063 0.9946937],1,[-9.5   0.95],None
[0.93837938 0.06162062],0,[0.95 0.  ],0
[0.3698063 0.6301937],0,[0.95 0.  ],0
[0.17871494 0.82128506],0,[0.95 0.  ],0
[0.09347588 0.90652412],0,[0.95 0.  ],1
[0.00166237 0.99833763],1,[-9.5   0.95],None
[0.27221306 0.72778694],0,[0.95 0.  ],0
[0.13686742 0.86313258],0,[0.95 0.  ],1
[0.00244284 0.99755716],1,[-9.5   0.95],None
[0.78483658 0.21516342],0,[0.95 0.  ],1
[0.01480709 0.98519291],1,[-9.5   0.95],None
[0.0133652 0.9866348],1,[-9.5   0.95],None
[0.00994643 0.99005357],1,[-9.5   0.95],None
[0.88830634 0.11169366],0,[0.95 0.  ],0
[0.355856 0.644144],0,[0.95 0.  ],1
[0.0064694 0.9935306],1,[-9.5   0.95],None
